julday,LNOx,LNOxEm,sqrtWS
373,4.457250056,5.536488847,0.856446145
373,4.151826998,5.513000467,1.01661202
373,3.834061464,4.886993535,1.095445115
373,4.172847624,5.138912365,1.354067945
373,4.322807275,5.666518438,1.204159458
373,5.026180505,7.152554374,1.147606204
373,5.137267945,7.365264813,0.948683298
373,5.750666061,8.085807669,1.024695077
373,5.59897736,8.073264274,0.983107319
373,5.179815322,7.936809091,1.01661202
373,5.316648323,7.877836366,1.048808848
373,4.584457144,7.911378665,0.930859818
373,4.611152258,7.820182164,0.974679434
373,5.346869407,7.962807602,1.251798706
373,5.26217192,8.065117134,1.360147051
373,5.123963979,8.065216454,1.420035211
373,5.442417711,8.129147959,1.472073368
373,5.662439511,8.13139437,1.176222768
373,5.733988317,8.070724717,1.080046295
373,5.663134076,7.736661047,1.183215957
373,5.386557155,7.68353328,1.278084504
373,4.922532413,7.315928613,1.335477443
373,4.173617743,6.551457735,1.437706507
373,4.273187855,6.296703478,1.47766708
374,4.87557893,6.035895205,0.795927132
374,4.656338473,5.680693806,1.040913061
374,4.318820559,5.601202938,1.231665539
374,4.099332104,5.495393965,1.378404875
374,4.178226046,5.710395854,1.414213562
374,4.759606539,6.738585262,1.390323703
374,5.434158589,7.24864305,1.396424004
374,5.423406977,7.581113552,1.183215957
374,5.684769535,7.839756822,1.048808848
374,5.465102184,7.915670623,0.974679434
374,4.001863709,7.978073742,1.987460691
374,4.17438727,7.817266665,2.22856456
374,4.286341385,7.650128551,2.097617696
374,4.314149212,7.703372258,1.816590212
374,3.779633817,7.597574057,2.209751117
374,4.036008985,7.602522971,1.995870737
374,3.984343667,7.456597762,1.962141687
374,4.440295543,7.553841902,1.402319507
374,4.691347882,7.157577647,1.080046295
374,4.705920089,7.022697205,1.169187752
374,3.858622229,6.598899702,1.527579785
374,3.056356895,6.340375174,2
374,3.042138646,6.288348092,1.875233319
374,2.923161581,6.250001503,1.906043022
375,3.175968324,6.085637918,1.62788206
375,3.258096538,5.783921717,1.396424004
375,4.11414719,5.436316125,1
375,4.471067201,5.443555669,1.224744871
375,4.363735365,5.538549916,1.291123542
375,4.247065649,5.519628736,1.402497772
375,4.348986781,5.540172172,1.443433407
375,4.827113017,6.090390349,1.449137675
375,5.153291594,6.446578392,1.224744871
375,5.394536224,6.628366991,0.856446145
375,5.199877294,6.856516169,0.763871717
375,4.212127598,6.984021271,0.836660027
375,3.609565647,6.813063915,0.816394512
375,3.369018483,6.857616247,1.284523258
375,3.940610462,7.152753253,1.834938691
375,3.952204795,7.215083495,1.653329973
375,4.782897874,7.480697447,0.939946807
375,4.826311735,7.505013983,1.080046295
375,4.860199926,7.165757841,1.102950588
375,4.613634264,6.832595063,1.251598977
375,4.747103682,6.680632366,1.366382084
375,4.329416684,6.500858589,1.454819576
375,4.270396506,6.027304033,1.396424004
375,3.32323584,5.810202419,1.396424004
376,2.734367509,5.468154167,1.516575089
376,2.317473705,5.363827326,1.46628783
376,2.351375257,4.70562719,1.538505769
376,1.446918983,4.676207076,1.906174179
376,2.433613355,5.424533623,2.004120755
376,5.055289935,7.591231709,1.586505594
376,5.114995309,7.634213718,1.431782106
376,5.915662834,8.19405883,0.957340065
376,5.974064032,8.31532358,0.903603896
376,6.001538633,8.143969542,0.816394512
376,5.746841964,8.15378245,0.930859818
376,4.669552445,8.080604529,1.056882207
376,4.786658062,7.961429044,1.62788206
376,4.878246106,8.021582358,1.449137675
376,5.225208895,8.070947326,1.154772705
376,4.993489135,8.194942176,1.360147051
376,5.59805152,8.268281906,1.087658034
376,5.398615088,8.172655598,1.176222768
376,5.314190716,8.23311624,1.251598977
376,5.015954456,7.75031628,1.01661202
376,4.627909673,7.578517024,1.080046295
376,4.678885224,7.074996815,1.032714869
376,3.951243719,6.059714745,1.224744871
376,3.645449896,5.782612887,1.110405331
377,1.824549292,5.423809924,1.816590212
377,1.731655545,5.449162789,1.970659788
377,2.066862759,5.079267886,2.089736826
377,0.993251773,5.049946894,2.041200627
377,1.648658626,5.477241905,1.483239697
377,4.585987367,7.458109037,1.47766708
377,5.136092511,7.861335219,1.329097438
377,5.618587629,8.326373789,1.297497592
377,4.566948973,8.27317806,1.63294213
377,4.028916757,8.073091194,1.974841766
377,4.59764192,8.249875532,1.901841213
377,3.900962058,8.198224539,1.940876091
377,3.325036021,8.132039024,1.870828693
377,4.219507705,8.187858273,1.74642492
377,4.839055834,8.208645292,1.697939928
377,4.875960391,8.305183398,1.511125408
377,4.816241156,8.340373988,1.378404875
377,5.217107311,8.337953783,1.24498996
377,5.642438844,8.160694871,1.258371964
377,5.595268845,8.013149016,1.329097438
377,5.387929525,7.587414037,1.443260198
377,4.729156166,7.262567045,1.420035211
377,4.153399325,6.449203779,1.19707978
377,4.24563401,6.037355222,1.095445115
378,3.609565647,5.521828256,1.570668647
378,3.430756184,5.600699512,1.390323703
378,3.109060959,5.008994145,1.402497772
378,2.545531272,5.367141299,1.875366631
378,3.238678452,5.336375353,1.251798706
378,5.204006687,7.399467345,1.316434579
378,5.747639858,7.756340897,1.511125408
378,5.535166565,8.338062738,1.46628783
378,5.924523141,8.396405313,1.303840481
378,5.960876465,8.131266918,1.040913061
378,4.731362211,8.285065221,1.923538406
378,3.375879574,8.177372873,1.788854382
378,3.671224519,8.14828526,1.494322589
378,4.119037175,8.160084691,1.378404875
378,4.977078511,8.389643715,1.347775946
378,4.670957927,8.269820958,2.250999778
378,4.991792206,8.323285953,2.334523506
378,5.259056653,8.415183591,1.217990148
378,5.022563865,8.184051956,1.543858802
378,5.257755755,8.045789845,1.488959368
378,5.17840707,7.798349733,1.543696861
378,5.049535443,7.215765617,1
378,4.821087692,6.48063485,1.080046295
378,4.226833745,6.113279104,1.197288603
379,3.563882964,5.601901487,1.402319507
379,1.848454813,5.108929212,1.727136358
379,2.174751721,5.194418124,2.187121396
379,0.182321557,5.198051142,2.636285265
379,1.492904096,5.64943741,2.352339261
379,3.139832618,7.44635458,2.183346056
379,3.137665769,7.874384735,2.469817807
379,3.254242969,8.251979015,2.167948339
379,3.861781789,8.286362247,2.148604198
379,4.510309905,8.272033172,1.760681686
379,4.363098625,8.257041682,1.979014906
379,3.946424432,8.181547655,2.004120755
379,4.622518824,8.370290962,1.648180815
379,4.367547313,8.342381922,1.543858802
379,4.828713657,8.135472665,1.291123542
379,4.563305982,7.970659028,1.663430191
379,4.467056884,7.872215251,2.077739156
379,4.662022998,7.529275832,1.591540135
379,4.06731589,6.4191822,1.161895004
379,4.130355,6.213180929,1.402319507
380,3.325036021,5.67825476,1.532970972
380,1.93874166,5.329156061,1.596871942
380,2.028148247,5.347725628,1.390323703
380,2.098017927,5.136858561,1.549193338
380,2.1690537,5.595194724,1.420211252
380,4.822295665,7.058003015,1.322875656
380,5.216564865,7.180580343,1.048808848
380,5.589306465,7.957994939,1.278084504
380,5.85950335,7.924886042,1.354067945
380,5.456815724,7.685502168,1.329097438
380,4.135166557,7.786594188,1.238345671
380,2.731115474,7.529420999,1.056645636
380,3.771610852,7.455536549,1.688194302
380,4.433194921,7.694820293,1.238345671
